Timestamp (UTC),Transcription,File,Alexa Response,Profile Name
2023-06-03T19:02:33.669Z, add no time to die to watchlist,677933591f9c99cab26af77e5325ae8ff3c74270.wav,Adding to watch list is currently not supported.,
2023-06-03T19:01:46.042Z,rent top gun maverick,1c68cf4e2e5ed148f47c718f2043e98856e38dc6.wav,Purchase video is not supported.,
2023-06-03T19:02:50.231Z,gladiator to watch list,0e1d9c77a8aefb40481276a779fce01882df35d6.wav,Adding to watch list is currently not supported.,
2023-06-03T19:00:05.618Z,inception movie rental,eecccd855cd0df19bea97ca3b29121b9da793e27.wav,Here's what I found.,
2023-06-03T19:04:14.196Z,add inception d. v. d. to cart,55cace9553b8dbeae2717a79a89f3d8cebc9a7ef.wav,Showing items matching inception dvd on Amazon.,
2023-06-03T19:02:20.396Z,which james bond movie has the highest rating,3210041b1eae28725d4740327f39150a627d3819.wav,"The best James Bond movies is ""Casino Royale"" based on its ratings and popularity. The movie has an IMDb rating of 8 out of 10 with around 671,000 votes.",
2023-06-03T19:03:11.766Z,search for action movies with hans zimmer soundtrack,eb15a401c81d9b1c9fffcb3237a29cfe8ba2fd03.wav,Here's what I found.,
2023-06-03T18:58:28.323Z, search for best action movies,34874f87750995bb54feb8d9673701f162d94879.wav,Here's what I found.,
2023-06-03T18:59:54.689Z,what are the best action movies this year,9d737ccd720d11d79ad958c4ec9a270981aea14e.wav,Here's what I found.,
2023-06-03T19:03:00.391Z,what are the best action movies with the best soundtracks,e796409c0e9999402b673100ea7a79dd6713a1ab.wav,Here's what I found.,
2023-06-03T19:01:54.677Z,recommend sports documentaries on prime video,b913b285384333f14771ec241e820f346bf40d9d.wav,"Hmm, I'm not sure.",
2023-06-03T19:01:21.272Z,search for best action tv shows in twenty twenty three,c9c4919a12926abb2775fd962dc7927b6cfd9e5d.wav,Here's what I found.,
2023-06-03T19:00:14.067Z,add interstellar blu-ray to cart,ad4e6ca9d1f82d9b9618b78dd4b143af63e19cdb.wav,Showing items matching interstellar blu-ray on Amazon.,
2023-06-03T19:00:37.383Z,what sports channels are available on prime video,687e86777dff5b5b3026101afaf7f207154f731d.wav,Not Applicable,
2023-06-03T19:02:02.491Z,add creed to watchlist,7670dd2e07035ea3d23d823e7445a3888259c1c8.wav,Adding to watch list is currently not supported.,
2023-06-03T19:00:56.936Z,what sports channels are available on prime video,25b7f8d0a5b0a42313bb7ef95b89243ec5cca858.wav,Here's what I found.,
2023-06-03T19:01:04.974Z,n. b. a. finals on prime video,9b61145ece99c3808e6677816467ae19acabe200.wav,"Sorry, I don't know that one.",
2023-06-03T19:01:12.246Z,n. f. l. highlights on prime video,b1cb3aa4bfe3505960f20dd87542ba52cc23f709.wav,"Sorry, I'm not sure.",
2023-06-03T19:00:29.083Z,best action movies on prime video,3a01b74be78e5f7e7f45c7959b4f1a98716ac9ec.wav,"Hmm, I'm not sure.",
2023-06-03T19:02:42.042Z,search for n. b. a. league pass,d9a0a3719c91f3d017aad29d24d3e63bfc8eabfa.wav,"Sorry, I can't handle this request yet.",
2023-06-03T19:03:23.089Z,add dune blu-ray to cart,0ac5848494a57b62c2847029a15a9006dc9225d9.wav,Showing items matching dune blu-ray on Amazon.,
